const,Country,Time,NEET,Exp_LMP,Exp_LMP_2,Exp_LMP_3,STR,STR_2,STR_3,GDP,LogGDP,CPI,DEBT,Years_schooling,Exp_educ,LogExp_educ,Strictness_of_workers,PT_employ
1.0,CAN,2014,13.403195,0.78,0.6084,0.47455200000000003,16.57,274.5649,4549.540393,50893.4467137547,10.837489445993553,1.906636,108.3513,13.0,9537.2412,9.162959540231105,1.314,48.8807323981906
1.0,CAN,2015,13.261124,0.86,0.7395999999999999,0.636056,16.978,288.25248400000004,4893.950673352001,43585.5119817751,10.682480080119259,1.125241,114.6343,13.1,9241.6123,9.131471640755878,1.314,48.1703848920012
1.0,CAN,2016,13.088084,0.9,0.81,0.7290000000000001,16.855,284.091025,4788.3542263750005,42322.4847803038,10.65307377889893,1.42876,114.1487,13.1,9499.7402,9.159019729846266,1.314,48.4522040395261
1.0,CAN,2017,12.175824,0.78,0.6084,0.47455200000000003,16.225,263.25062500000007,4271.241390625001,45148.5527061655,10.717713503096922,1.596884,108.5559,13.3,10238.122,9.233873483336449,1.314,49.0766786884924
1.0,CAN,2018,11.947031,0.7,0.48999999999999994,0.3429999999999999,16.691,278.589481,4649.937027370999,46313.1713712961,10.743181678479573,2.268226,107.3827,,,,1.314,47.864017926492
1.0,CZE,2013,13.244039,0.53,0.28090000000000004,0.148877,18.788,352.988944,6631.956279872,20133.1691431353,9.910123940079258,1.438298,55.96956,12.6,4895.4175,8.49605484244091,2.934,10.2770464986962
1.0,CZE,2014,12.489656,0.58,0.3364,0.19511199999999995,18.677,348.830329,6515.104054732999,19890.9199056648,9.898018620434886,0.3439886,54.84251,12.8,5085.979,8.534242816992023,2.934,9.34765426993857
1.0,CZE,2015,12.232547,0.61,0.3721,0.226981,18.974,360.012676,6830.8805144240005,17829.6983223668,9.788620791048697,0.3093646,51.70708,12.7,5241.7017,8.564401476502997,2.934,9.34070668831991
1.0,CZE,2016,11.624346,0.53,0.28090000000000004,0.148877,19.149,366.68420100000003,7021.635764949001,18575.2320271915,9.829584360877607,0.6835042,47.43294,12.7,5197.6421,8.555960359425775,2.934,10.2678782278086
1.0,CZE,2017,10.906657,0.46,0.2116,0.097336,19.138,366.26304400000004,7009.542136072002,20636.199952435,9.934802091813381,2.450534,43.32781,12.7,5970.6182,8.69460575211438,2.934,12.235357223795
1.0,CZE,2018,9.991457,0.46,0.2116,0.097336,19.198,368.56320400000004,7075.676390392,23415.8436273041,10.061168150321755,2.149495,39.73836,,,,2.934,11.5995404795158
