Country,Time,Min_Wage
CZE,2010,8012.825530225391
CZE,2011,7862.09199792332
CZE,2012,7611.8432824149595
CZE,2013,7699.32908153038
CZE,2014,7945.57742298489
CZE,2015,8573.3960451473
CZE,2016,9163.089554463571
CZE,2017,9937.68428537509
CZE,2018,10789.8676383809
CZE,2019,11608.9977758737
EST,2001,3437.58045366545
EST,2002,3837.68661408509
EST,2003,4421.6265900163
EST,2004,4926.459121749529
EST,2005,5134.1189722461995
EST,2006,5482.424127277771
EST,2007,6171.614909237529
EST,2008,6757.32828977579
EST,2009,6762.63075434844
EST,2010,6567.44337403147
EST,2011,6255.78627534546
EST,2012,6278.396332236341
EST,2013,6740.46255811295
EST,2014,7485.648548721259
EST,2015,8264.357819442559
EST,2016,9098.456231219441
EST,2017,9616.215522624829
EST,2018,9890.15834338654
EST,2019,10443.5444229378
FRA,2001,18363.0687348551
FRA,2002,18595.049097452098
FRA,2003,18914.3303326905
FRA,2004,19547.895315748
FRA,2005,20302.9114396593
FRA,2006,20811.0749115064
FRA,2007,21021.7972643769
FRA,2008,21062.584627801298
FRA,2009,21431.276588323002
FRA,2010,21288.7024880211
FRA,2011,21263.1341037538
FRA,2012,21536.0931102924
FRA,2013,21626.8842958147
FRA,2014,21745.708495559298
FRA,2015,21920.1313118405
FRA,2016,22016.6251097894
FRA,2017,21994.491019677997
FRA,2018,21860.3203739333
FRA,2019,21948.9566975998
DEU,2015,23382.7620297357
DEU,2016,23268.340286370498
DEU,2017,23845.588980779103
DEU,2018,23439.5762216494
DEU,2019,24015.5785062886
GRC,2001,13853.750362131
GRC,2002,14080.782694334499
GRC,2003,14297.370255361398
GRC,2004,14606.4120642844
GRC,2005,14890.013197538401
GRC,2006,15320.2986823182
GRC,2007,15688.5943462051
GRC,2008,15997.4877053082
GRC,2009,16712.083040128
GRC,2010,16241.687326823401
GRC,2011,15844.414908788302
GRC,2012,13073.922515698301
GRC,2013,12761.1743192572
GRC,2014,12930.7230754974
GRC,2015,13159.1723501971
GRC,2016,13268.7265987295
GRC,2017,13121.5994818502
GRC,2018,13040.0184511778
GRC,2019,14307.438912649899
HUN,2001,5969.476605054829
HUN,2002,7088.599234402641
HUN,2003,6772.91262882196
HUN,2004,6725.68393742875
HUN,2005,6984.52758007782
HUN,2006,7368.853265156859
HUN,2007,7153.249336169471
HUN,2008,7106.09721809838
HUN,2009,7065.96637523769
HUN,2010,6927.25872225061
HUN,2011,7073.39766375652
HUN,2012,7982.48481524645
HUN,2013,8268.343744171021
HUN,2014,8583.17414436703
HUN,2015,8884.62256374093
HUN,2016,9355.38310066467
HUN,2017,10511.8468771164
HUN,2018,11049.2283832452
HUN,2019,11544.5395567579
IRL,2001,16009.336351562
IRL,2002,16070.9418490968
IRL,2003,16245.2321516289
IRL,2004,17397.533608340902
IRL,2005,18157.9086357549
IRL,2006,17988.322620895302
IRL,2007,19009.0992659915
IRL,2008,18633.5970435944
IRL,2009,19507.147266941
IRL,2010,19688.6959107231
IRL,2011,19197.7726134835
IRL,2012,18877.5695843202
