Country,ISC11_LEVEL_CAT,Time,STR
DEU,L3,2018,12.57
DEU,L5T8,2013,11.693
DEU,L5T8,2014,11.817
DEU,L5T8,2015,11.965
DEU,L5T8,2016,12.089
DEU,L5T8,2017,12.092
DEU,L5T8,2018,11.972000000000001
GRC,L0,2005,
GRC,L0,2010,
GRC,L0,2011,
GRC,L0,2012,
GRC,L0,2013,
GRC,L0,2014,
GRC,L0,2015,
GRC,L0,2016,
GRC,L0,2017,
GRC,L0,2018,
GRC,L1,2013,9.493
GRC,L1,2014,9.448
GRC,L1,2015,
GRC,L1,2016,
GRC,L1,2017,
GRC,L1,2018,9.219
GRC,L2,2013,7.347
GRC,L2,2014,7.835
GRC,L2,2015,
GRC,L2,2016,
GRC,L2,2017,
GRC,L2,2018,7.928
GRC,L3,2013,8.068
GRC,L3,2014,
GRC,L3,2015,
GRC,L3,2016,
GRC,L3,2017,
GRC,L3,2018,9.436
GRC,L5T8,2013,
GRC,L5T8,2014,44.516999999999996
GRC,L5T8,2015,
GRC,L5T8,2016,
GRC,L5T8,2017,
GRC,L5T8,2018,
HUN,L0,2005,
HUN,L0,2010,
HUN,L0,2011,
HUN,L0,2012,
HUN,L0,2013,
HUN,L0,2014,
HUN,L0,2015,12.437999999999999
HUN,L0,2016,12.328
HUN,L0,2017,12.234000000000002
HUN,L0,2018,12.42
HUN,L1,2013,10.630999999999998
HUN,L1,2014,11.46
HUN,L1,2015,11.235
HUN,L1,2016,11.015
HUN,L1,2017,10.8
HUN,L1,2018,10.176
HUN,L2,2013,10.431
HUN,L2,2014,10.914000000000001
HUN,L2,2015,10.593
HUN,L2,2016,10.32
HUN,L2,2017,10.447000000000001
HUN,L2,2018,11.0
HUN,L3,2013,12.04
HUN,L3,2014,12.487
HUN,L3,2015,11.472000000000001
HUN,L3,2016,11.106
HUN,L3,2017,11.457
HUN,L3,2018,11.868
HUN,L5T8,2013,14.842
HUN,L5T8,2014,15.094000000000001
HUN,L5T8,2015,14.589
HUN,L5T8,2016,13.662
HUN,L5T8,2017,12.083
HUN,L5T8,2018,11.539000000000001
ISL,L0,2005,
ISL,L0,2010,
